Relatív rang,Eredeti rang,Domain
1,4780,videa.hu
2,5209,24.hu
3,5258,jofogas.hu
4,5338,idokep.hu
5,5518,mandiner.hu
6,5570,portfolio.hu
7,5867,hvg.hu
8,5910,hasznaltauto.hu
9,6253,gyakorikerdesek.hu
10,6522,kiskegyed.hu
11,6536,telex.hu
12,6565,tippmix.hu
13,11330,nosalty.hu
14,11465,origo.hu
15,11839,atw.hu
16,12384,elte.hu
17,12423,arukereso.hu
18,12797,blikk.hu
19,12873,freemail.hu
20,12951,nemzetisport.hu
21,13229,444.hu
22,13615,startlap.hu
23,13876,mindmegette.hu
24,13880,index.hu
25,13955,penzcentrum.hu
26,14075,port.hu
27,14476,promotions.hu
28,14563,szamlazz.hu
29,14721,tippmixpro.hu
30,14805,hardverapro.hu
31,15452,nlc.hu
32,15526,goldengate.hu
33,15618,femina.hu
34,16336,bme.hu
35,18836,u-szeged.hu
36,21897,starity.hu
37,24102,sxc.hu
38,25011,mplayerhq.hu
39,25279,vatera.hu
40,25729,profession.hu
41,26017,magyarhirlap.hu
42,26453,magyarnemzet.hu
43,27782,metropol.hu
44,27818,kormany.hu
45,27983,menetrendek.hu
46,30892,hirado.hu
47,31826,mediaklikk.hu
48,32406,indavideo.hu
49,35655,oszk.hu
50,35921,nepszava.hu
51,36183,jegy.hu
52,36220,wga.hu
53,36817,borsonline.hu
54,37443,magyarorszag.hu
55,38891,hirstart.hu
56,39754,m4sport.hu
57,39810,libri.hu
58,39896,e-kreta.hu
59,40144,felvi.hu
60,41154,totalcar.hu
61,41515,pte.hu
62,41927,sagikazarmark.hu
63,42356,economx.hu
64,42614,divany.hu
65,42628,otpbank.hu
66,42864,unideb.hu
67,43228,moly.hu
68,43999,hirtv.hu
69,44195,lira.hu
70,44315,szallas.hu
71,44336,ripost.hu
72,44726,delmagyar.hu
73,44849,mafab.hu
74,45110,infostart.hu
75,45276,jogtar.hu
76,45483,oktatas.hu
77,46091,szeretlekmagyarorszag.hu
78,46209,kisalfold.hu
79,46484,agroinform.hu
80,46723,agrarszektor.hu
81,47038,myonlineradio.hu
82,47334,boon.hu
