Adószám,Alapítás éve,Létszám,Nettó árbevétel
24785725-2-44,2013,1974,57098150000
25087910-2-41,2014,409,14254790000
32606753-2-41,2024,58,529480000
14940961-2-13,2009,12,451240000
32696242-2-43,2024,127,
12527052-2-41,2000,89,4394160000
10226353-2-41,1989,194,5150780000
14918618-2-41,2009,66,5514400000
14435986-2-13,2008,4,58040000
10237580-2-43,1989,283,12119080000
32073380-2-41,2022,127,1115810000
10580204-2-44,1990,1910,1235816000000
13471868-2-41,2005,8,374800000
15308744-2-41,1983,4351,
24868291-2-42,2014,106,9502310000
32048467-2-51,2022,113,1983290000
24298083-2-42,2013,84,1137110000
12765335-2-41,2001,77,1911720000
27936748-2-41,2020,65,196970000
23749122-2-15,2011,2,131750000
13421739-2-41,2004,69,5227240000
12919709-2-41,2002,4,133410000
23116474-2-17,2011,2,90470000
19410768-4-43,2025,,
19308650-2-06,2021,11589,
23062595-2-18,2010,1,22260000
32330681-2-41,2023,21,578750000
25087879-2-44,2014,224,15895330000
13389909-2-42,2004,20,402450000
10585560-2-44,1991,1162,96765620000
14129887-2-42,2007,9,198010000
10324224-4-41,1989,,78390000
15321226-2-42,1983,1727,
32640234-2-43,2024,97,612640000
10384709-2-41,1989,97,32768810000
23083185-2-44,2010,795,17965850000
10734977-2-42,1991,668,30370030000
22777375-2-43,2010,228,2502690000
15329729-2-41,1999,1060,
12514988-2-41,2000,13,235750000
19308681-4-02,2021,,
55787833-1-33,2020,,2750000
11990259-2-41,2000,21,640810000
10537914-4-44,1990,,2526361000000
19308667-4-09,2021,,
22366157-2-13,2007,2,61030000
12896055-2-42,2002,228,4814880000
10853665-2-42,1993,200,12515960000
32362903-2-05,2023,215,6975250000
32884915-2-41,2025,43,
12643228-2-43,2001,74,3758590000
23092822-2-43,2010,7,203160000
26351409-2-42,2018,22,759140000
26278823-2-41,2018,5,333220000
11884958-2-13,1999,1,531700000
23981306-2-09,2012,6,77960000
12500442-2-41,2000,8,82170000
18889332-2-18,1999,8,44610000
14260960-2-13,2008,4,239240000
12494086-2-41,2000,16,224350000
14307544-2-41,2008,10,702400000
32874978-2-43,2025,17,
23522154-2-41,2011,16,4465620000
29308651-2-43,2021,2,629540000
13392327-2-42,2004,106,19563950000
25771859-2-44,2016,377,56282310000
24994356-2-13,2014,2,146100000
22667544-2-42,2010,5,58980000
66406156-1-38,2013,,2570000
12229132-2-44,1997,1890,88239330000
24925543-2-41,2014,23,801920000
