date,WCAG2AA.Principle3.Guideline3_1.3_1_1.H57.2,WCAG2AA.Principle1.Guideline1_1.1_1_1.H37,WCAG2AA.Principle2.Guideline2_4.2_4_1.H64.1,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail,WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.A.NoContent,WCAG2AA.Principle4.Guideline4_1.4_1_1.F77,WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.Button.Name,WCAG2AA.Principle1.Guideline1_3.1_3_1.H42.2,WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.InputText.Name,WCAG2AA.Principle1.Guideline1_3.1_3_1.F68,WCAG2AA.Principle2.Guideline2_2.2_2_1.F41.2,WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.InputSearch.Name,WCAG2AA.Principle1.Guideline1_1.1_1_1.H30.2,"WCAG2AA.Principle1.Guideline1_3.1_3_1.F92,ARIA4",WCAG2AA.Principle1.Guideline1_4.1_4_3.G145.Fail,WCAG2AA.Principle1.Guideline1_1.1_1_1.H67.1,WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.A.EmptyNoId,WCAG2AA.Principle3.Guideline3_2.3_2_2.H32.2,WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.Textarea.Name,WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.InputEmail.Name,WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.A.Name,WCAG2AA.Principle1.Guideline1_3.1_3_1.H49.Center,WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.Fieldset.Name,WCAG2AA.Principle1.Guideline1_3.1_3_1.H71.NoLegend,"WCAG2AA.Principle2.Guideline2_4.2_4_1.G1,G123,G124.NoSuchID",WCAG2AA.Principle1.Guideline1_3.1_3_1.H49.AlignAttr,WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.InputFile.Name,WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.InputButton.Name,WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.InputNumber.Name,WCAG2AA.Principle1.Guideline1_1.1_1_1.H2.EG3,WCAG2AA.Principle1.Guideline1_1.1_1_1.undefined,WCAG2AA.Principle1.Guideline1_3.1_3_1.H49.Font,WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.InputCheckbox.Name,WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.InputPassword.Name,WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.InputRange.Name,WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.Select.Name,WCAG2AA.Principle1.Guideline1_1.1_1_1.H2.EG4,WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.InputTime.Name,WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.InputRadio.Name,WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.InputSelect-one.Name,WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.Div.Name,WCAG2AA.Principle1.Guideline1_3.1_3_1.H43.HeadersRequired,WCAG2AA.Principle1.Guideline1_1.1_1_1.H36,WCAG2AA.Principle2.Guideline2_4.2_4_2.H25.1.NoTitleEl,WCAG2AA.Principle2.Guideline2_2.2_2_1.F40.2,WCAG2AA.Principle1.Guideline1_3.1_3_1.H39.3.LayoutTable,WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.InputTel.Name,WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.Img.Name,WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.InputImage.Name,WCAG2AA.Principle3.Guideline3_1.3_1_2.H58.1.Lang,WCAG2AA.Principle1.Guideline1_1.1_1_1.H24,"WCAG2AA.Principle1.Guideline1_1.1_1_1.H53,ARIA6",WCAG2AA.Principle3.Guideline3_1.3_1_1.H57.3.Lang,WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.InputHpinput.Name,WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.InputDate.Name,WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.Span.Name,WCAG2AA.Principle2.Guideline2_4.2_4_2.H25.1.EmptyTitle,WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.InputHome.Name
2025-06-03,71,3822,1702,22213,5093,3770,2240,355,955,1462,12,82,4597,494,765,36,439,622,93,92,64,79,50,51,127,387,3,50,246,53,26,73,158,71,11,157,205,1,23,1,84,11,10,7,1,3,18,9,9,31,58,6,1,2,4,1,1,3
2025-06-10,71,3816,1707,22298,4898,3942,2417,348,940,1444,13,82,4674,499,769,59,424,611,91,92,44,79,49,50,127,387,3,51,256,55,27,74,158,69,12,158,203,1,23,1,79,11,10,7,1,3,19,6,9,31,57,10,1,1,4,1,1,3
2025-06-17,71,3760,1707,21648,4854,3863,2386,350,944,1442,12,81,4524,503,770,54,441,609,88,91,64,74,50,51,125,386,2,44,254,46,26,74,158,72,11,153,224,1,23,1,89,11,10,7,1,3,16,7,9,31,57,12,1,2,4,1,2,3
2025-06-24,70,3589,1711,21667,4893,3549,1856,347,950,1443,11,78,4427,499,753,41,418,613,90,94,64,76,50,51,126,397,3,50,250,39,27,68,157,69,8,147,194,1,25,1,93,11,10,7,1,3,18,10,9,34,57,11,1,2,4,1,2,3
2025-07-01,70,3520,1705,21154,4833,3603,2453,346,949,1444,11,79,4367,499,779,58,464,616,93,95,64,78,51,52,125,398,3,50,246,38,26,68,157,71,8,146,193,1,23,1,99,11,10,7,1,3,18,8,9,34,57,8,1,2,4,1,2,3
2025-07-08,69,3509,1694,21225,4766,3610,2422,350,947,1440,11,78,4488,523,779,54,420,606,92,92,64,74,51,52,124,317,3,50,226,35,26,70,157,71,8,145,192,1,23,1,100,11,10,6,1,3,18,8,9,34,57,10,1,2,4,1,2,3
2025-07-15,69,3518,1698,21101,4782,3650,2463,353,950,1449,11,78,4362,521,796,37,420,604,93,99,63,75,53,54,124,326,3,50,239,35,26,70,157,74,12,147,193,1,23,1,100,11,10,7,1,3,18,9,9,34,57,9,1,2,4,1,2,3
2025-07-22,71,3454,1688,21170,4766,3637,2421,338,951,1446,11,78,4413,518,777,34,439,601,92,92,63,75,53,54,122,329,3,50,237,34,25,70,157,71,11,148,191,1,22,1,101,11,10,7,1,3,18,2,9,32,57,9,1,2,4,1,2,3
2025-07-29,69,3556,1646,20574,4386,3625,2403,337,886,1380,11,78,4235,516,778,33,445,596,91,101,67,74,55,56,122,373,3,49,228,27,26,69,156,72,10,147,194,1,23,1,100,12,10,6,1,3,18,9,9,32,57,7,1,2,4,1,2,3
2025-08-05,69,3609,1673,21062,4472,3648,2484,348,924,1414,11,78,4396,518,779,32,447,616,87,100,67,81,55,56,124,367,3,50,247,36,26,69,156,72,12,147,191,1,23,1,103,12,10,6,1,3,18,7,9,32,57,9,1,2,4,1,2,3
2025-08-12,69,3548,1660,20763,4546,3634,2526,341,925,1411,12,78,4490,520,753,31,443,618,87,97,68,79,55,56,124,368,3,50,247,37,25,68,156,72,8,143,193,1,23,1,106,12,10,6,1,3,18,8,9,33,57,12,1,2,4,1,2,3
2025-08-19,69,3527,1657,20841,4490,3667,1203,350,925,1399,13,78,4388,522,753,34,445,627,86,97,68,78,55,56,124,374,2,50,220,35,25,70,152,66,8,143,185,1,23,1,96,12,10,6,1,3,18,8,9,33,57,9,1,2,4,1,2,3
2025-08-26,69,3461,1647,20915,4493,3640,1188,352,907,1381,13,78,4396,520,758,33,433,638,83,99,68,77,60,61,124,368,2,49,228,38,25,70,152,68,11,144,188,1,23,1,80,12,10,6,1,3,18,8,9,34,57,8,1,2,4,1,2,3
2025-09-02,69,3726,1642,20715,4590,3636,1189,353,919,1390,13,77,4314,518,754,30,430,625,83,95,68,78,57,58,124,333,2,49,226,36,25,71,153,67,10,143,188,1,21,1,341,12,10,6,2,3,18,8,9,32,57,11,1,1,4,1,2,3
2025-09-09,70,3737,1615,20668,4635,3521,1156,335,922,1325,13,77,4410,525,763,32,485,624,82,96,68,80,59,61,121,385,2,49,203,37,26,71,89,64,10,141,193,1,23,1,355,12,10,6,1,3,19,9,9,32,57,7,1,1,4,2,2,3
